val_td_live,level,area,label
12890,4,2.913310632,1816
6409,5,63.16200988,40146
6897,3,93.34123942,48511
4401,2,510.6774581,39675
4219,4,310.4563229,16260
1277,4,50.42759948,10796
10164,1.5,220.3742144,50918
1237,1.5,120.3463976,11126
5673,5,95.95793032,37555
2570,4,45.33373773,11356
607,5,185.5404189,16400
1922,5,40.50254951,18972
18260,5,2.327293901,44145
1132,1,266.2519705,6570
272,5,12.04238497,17515
15795,4,1.868960561,39334
1102,5,211.9671031,14755
2358,4,35.65471126,12371
6341,3,43.34079504,23734
78791,3,240.7615924,162416
21154,5,8.942100655,62268
71008,4,60.6998497,125053
7886,2,5.691573795,1854
4409,4,5.993784169,23391
5305,3,70.93486988,17979
1817,5,182.3589902,23428
51975,3,15.05435675,59464
3340,4,166.2667986,22705
29606,3,2.884669107,60662
37625,3,114.291167,94437
21213,3,4.558861794,64237
666,3,47.24905612,7652
3117,4,86.76932274,12118
966,1.5,35.84815687,12161
1071,4,72.87850192,11858
4316,5,45.39465631,33624
34672,4,44.88496052,37647
8219,4,50.5735056,37921
3212,4,60.50563189,32630
4597,4,89.90544492,43551
2605,3,51.90856957,8621
53202,5,36.12060556,94625
8900,5,6343.518549,19213
5668,4,49.08903957,42271
19,5,69.22175311,3
1809,4,101.9152039,16004
36770,4,93.68533069,68824
783,4,64.97918396,10684
7391,4,202.708349,43527
5578,5,31.33200023,33353
350,5,217.3898975,3388
4486,5,229.527626,25731
12211,1.5,1.627995351,27615
13991,3,7.520765435,40102
11683,4,158.4963648,53738
3978,4,78.82411938,30189
21355,4,70.2030356,71682
1055,5,193.5582471,9448
43239,2,2.720355953,51284
36611,2,128.9264473,66706
8726,4,127.3724755,29578
33015,1.5,1.929550187,72281
18923,5,1805.210991,39725
16972,3,6.052708699,12024
678,5,127.1144445,14256
26655,2,8.73693932,39213
477,5,665.7762226,4519
382,5,562.3728428,806
5585,5,210.970299,18673
1808,4,132.2816788,18272
804,4,102.1462113,6255
1289,5,810.41819,9162
3659,3,34.82453243,23979
10850,4,61.24834145,43996
31249,4,251.9276175,62057
14091,1.5,76.69354215,29913
2224,4,87.60853848,16574
23390,1.5,22.20407754,23102
18917,4,82.07833845,76691
5396,3,99.34141393,27589
